Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
589936,361355.4,10205.4,1005,574.22626,0.023105543,349.51138,12.676204,53.672153,2.2405038,454.98264,558.84113,14384.147,309241.81
589937,361355.4,10206,934,559.88965,0.018699294,346.08115,12.717642,54.123089,2.5125463,508.44162,613.39966,12345.443,244479.59
589941,361355.4,10208.4,828,541.72162,0.015521503,334.71988,14.461761,54.434834,2.0851352,561.46997,662.25635,10909.35,217729.08
589942,361355.4,10209,834,554.13672,0.018807454,333.35239,16.571341,65.604858,1.970193,506.24609,608.48291,12536.484,319073.75
589943,361355.4,10209.6,700,471.53656,0.023223205,324.9303,15.377871,50.483772,1.9718378,415.67157,505.12814,9003.4365,186639.12
589944,361355.4,10210.2,704,432.25171,0.020579213,322.99817,13.962939,54.676155,1.9874903,425.22183,513.75836,8970.3154,167364.36
589945,361355.4,10210.8,577,396.39963,0.03621275,318.61569,14.396238,46.082569,1.9712436,290.93405,370.88632,6997.4771,130187.52
589946,361355.4,10211.4,524,324.98489,0.042943984,303.94098,13.849151,54.20108,1.9549971,234.71619,308.37939,6644.2651,140472.72
589947,361355.4,10212,469,251.80359,0.1095406,286.1026,10.268948,39.517609,1.9387505,102.06077,169.96063,5305.3579,85029.844
589948,361355.4,10212.6,426,227.2382,0.16400735,281.32724,9.8679276,26.353662,1.9225038,67.541,131.95139,4661.7153,69890.039
589949,361355.4,10213.2,400,216.51379,0.13367876,279.37906,10.087985,26.896046,1.9062573,80.309807,142.66469,4428.958,67722.844
589950,361355.4,10213.8,367,206.28667,0.045676898,277.49243,10.133343,71.102173,1.8900107,177.23973,238.22768,4016.801,61228.078
589951,361355.4,10214.4,353,200.8327,0.10903417,276.64569,10.19821,27.551395,1.873764,90.379448,152.1391,3925.9207,61714.441
589953,361355.4,10215.6,345,190.23068,0.1064188,274.82471,10.551809,26.726501,1.0460088,89.65107,149.87737,3810.0474,59612.398
589954,361355.4,10216.2,344,187.82042,0.11543682,274.42001,10.945767,27.325542,0.58458734,83.724327,142.9895,3840.2202,60290.281
589955,361355.4,10216.8,362,219.32463,0.065216944,285.70212,10.710297,44.458088,0.48026904,132.33229,205.57411,4126.4863,65202.121
589956,361355.4,10217.4,347,205.06717,0.064861134,281.94159,10.266845,49.823666,0.79393983,127.18021,199.32452,4074.811,65246.398
655456,361356,10195.8,912,586.71442,0.019516561,27.946926,16.4893,65.923615,2.3788123,521.73584,614.63416,15102.796,368250.12
655457,361356,10196.4,899,586.77155,0.021712899,25.362659,15.498338,65.631866,2.4006205,485.0665,582.74768,13758.825,298624.31
655458,361356,10197,936,601.44519,0.02349348,22.105957,15.328394,65.510826,2.4224284,467.8941,567.19092,14832.475,347717.16
655459,361356,10197.6,986,598.30267,0.025556095,21.767651,14.312031,57.789124,2.4442363,440.68936,542.39807,16678.936,432014.75
