Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
3473433,361381.8,10153.2,374,158.64899,0.043188814,99.640717,6.9644632,27.280447,0.54740965,170.99289,214.85127,3561.7859,47005.922
3473434,361381.8,10153.8,353,143.11201,0.051168531,118.45718,5.5324965,24.856236,0.82045162,143.9243,187.4742,2752.447,28965.6
3473435,361381.8,10154.4,378,148.22992,0.057020362,122.89702,3.962604,24.259136,1.0000821,133.12721,180.7415,2869.189,28489.32
3473436,361381.8,10155,400,160.36534,0.060918696,109.11425,4.1842752,25.122452,0.92935371,134.63724,181.87997,3359.8599,38469.961
3473437,361381.8,10155.6,402,171.48466,0.047439653,94.458466,6.6909165,35.380188,0.88338828,164.92529,213.1311,3946.6572,58650.84
3473438,361381.8,10156.2,462,218.31711,0.035903275,74.433998,7.2999697,34.613426,0.83742285,221.49036,276.42783,4796.7324,73645.922
3473442,361381.8,10158.6,410,162.58733,0.070087723,180.5468,1.4210773,21.293718,0.65356112,120.87771,170.73686,3198.6685,32183.641
3473443,361381.8,10159.2,351,154.38577,0.075529024,123.43248,2.3157997,24.640852,0.60759568,113.52413,160.26978,2931.8596,33274.441
3473444,361381.8,10159.8,434,213.22256,0.038564507,63.638622,2.3823366,21.972227,0.56896567,203.63017,263.5892,3903.1621,44914.68
3473445,361381.8,10160.4,593,291.65698,0.038236931,85.71907,5.6987267,63.282669,0.14935422,240.56206,309.59906,6377.2495,97735.32
3473446,361381.8,10161,519,306.46628,0.030553473,83.559341,9.6195049,43.044952,0.32859004,287.62341,355.03076,6773.7676,120901.32
3473447,361381.8,10161.6,531,317.45969,0.034703456,85.892883,8.960331,41.704609,0.74791396,264.89594,339.04932,6530.8325,109498.68
3473448,361381.8,10162.2,560,320.60989,0.038131457,97.552086,7.66435,56.669689,0.75431079,251.35495,325.05115,6980.7822,130854.24
3473449,361381.8,10162.8,579,323.21362,0.040694315,104.86988,7.147974,55.775372,0.18670028,239.88019,315.92419,6697.3071,115470
3473454,361381.8,10165.8,987,510.62756,0.036505319,76.863121,4.4109192,51.366146,2.6123424,313.60428,419.25571,10659.806,154381.31
3473455,361381.8,10166.4,1026,522.81531,0.032447763,71.036514,3.5216587,59.407753,3.211036,343.21005,449.97324,11135.406,160625.88
3473456,361381.8,10167,1018,515.48792,0.036564063,67.248505,2.8155291,58.994411,3.8097298,314.29758,420.90778,10648.005,144663.84
3473457,361381.8,10167.6,980,504.81958,0.046692159,55.436989,2.1575136,28.950863,4.4084234,260.62949,368.59637,9649.0498,114208.92
3473458,361381.8,10168.2,982,502.56491,0.042480111,40.422615,1.7777562,27.754309,5.0071173,277.46176,385.5744,9659.6104,115119.36
3473459,361381.8,10168.8,973,500.06616,0.043079097,20.158966,1.4571475,26.579252,5.6058111,273.64993,381.9314,9436.4795,110495.88
3473460,361381.8,10169.4,977,498.81757,0.044329613,352.09433,1.3877423,25.428268,6.2045045,269.71091,376.03549,9511.083,112133.88
3473461,361381.8,10170,991,501.73172,0.040313959,328.32822,1.7894129,30.704985,6.1795268,289.3082,395.46948,9862.4902,120673.08
3473462,361381.8,10170.6,993,502.44116,0.041716259,312.86768,2.3586824,30.592127,5.743628,285.19324,389.04056,9918.1797,121410
3473463,361381.8,10171.2,988,499.23221,0.043111123,305.31717,3.038728,26.066347,5.1500506,275.22675,381.47104,9948.2686,122779.08
3473466,361381.8,10173,987,494.22977,0.035361681,296.53967,5.2916045,31.635651,3.3829408,320.08047,419.08578,10849.572,152004.59
3473467,361381.8,10173.6,983,491.96655,0.033898283,294.09085,5.9153085,31.937475,2.8029816,329.98642,427.05508,11142.01,161876.52
3473468,361381.8,10174.2,963,487.37524,0.034634106,291.42538,6.5146284,32.238617,2.2253611,325.79163,420.5181,10951.141,158624.28
3473469,361381.8,10174.8,962,486.08911,0.03376643,290.29834,7.1041317,32.563377,1.6477407,333.04608,425.3244,11236.485,166328.28
3473471,361381.8,10176,912,462.50214,0.031666752,284.28079,8.3422298,33.280956,0.49304467,346.87415,428.41043,11139.205,169253.28
3473472,361381.8,10176.6,700,362.72324,0.040820263,269.30008,9.7562695,28.259962,0.032392833,273.0946,334.16019,9022.4238,144874.44
3473482,361381.8,10182.6,948,909.50433,0.031509809,96.331367,18.670151,48.939056,0.040754288,504.60818,602.26056,26726.506,800863.19
3473483,361381.8,10183.2,1072,990.99683,0.02870574,97.273376,16.556499,48.064972,0.59094018,542.03699,658.65302,27720.834,798894.75
3473516,361381.8,10203,1163,1093.7738,0.028725134,242.41844,5.821661,39.929558,1.6603667,541.79712,691.73163,19910.844,405413.62
3473517,361381.8,10203.6,1212,1059.9408,0.032830264,238.80725,6.7373848,47.495388,1.6372744,494.26514,636.95471,19981.473,397188
3473518,361381.8,10204.2,1227,1086.9685,0.024635134,248.31175,6.6246743,48.32515,1.7611381,594.96332,744.62213,20714.307,430260.47
3473519,361381.8,10204.8,1204,1058.4227,0.025271438,245.96831,7.4455247,49.003559,1.5940278,574.77295,725.47015,20138.66,423490.69
3473520,361381.8,10205.4,1125,1020.3848,0.029273415,243.07167,8.6096315,49.683659,1.5481998,523.52185,661.83575,18707.635,391835.88
3473521,361381.8,10206,1124,989.44843,0.030043963,240.96526,9.3547306,50.365387,1.6087631,513.14471,643.31384,18736.785,397631.88
3473522,361381.8,10206.6,1099,945.53992,0.030296432,236.789,9.9723139,53.341389,1.8692281,500.17221,626.25201,18245.697,392753.88
3473523,361381.8,10207.2,1076,926.81445,0.032556169,236.00066,10.275595,42.632057,2.2627215,474.0936,598.11499,17374.512,363723.12
3473524,361381.8,10207.8,1049,934.36047,0.032804698,240.15652,10.770547,42.387657,2.7323623,474.88278,598.26575,16843.652,356068.09
3473525,361381.8,10208.4,1031,914.12329,0.033882346,242.78253,11.518613,42.966728,2.9321618,460.71539,582.26483,16841.85,368501.03
3473526,361381.8,10209,1024,881.1344,0.027543513,242.32018,12.23783,54.261967,2.8791707,517.60913,634.03955,17093.729,389155.31
3473532,361381.8,10212.6,658,693.19586,0.050083682,257.12738,17.403818,49.980934,1.0009629,321.78229,417.04678,11928.407,319575.97
3473533,361381.8,10213.2,695,700.74567,0.031360731,254.82997,18.181837,58.152111,1.1414012,435.93228,529.89771,13781.389,379413
3473534,361381.8,10213.8,564,632.24023,0.033995107,258.81754,19.262516,58.702133,1.1634023,401.42737,483.43466,11957.282,358056.72
3473535,361381.8,10214.4,492,557.75116,0.039534606,264.1535,19.75329,59.253609,0.73742014,344.78952,421.0527,10668.263,342095.41
3473543,361381.8,10219.2,696,572.58441,0.030545559,265.48386,13.857127,40.975819,1.6988126,391.29596,485.34509,13059.032,330204.25
3473544,361381.8,10219.8,553,508.31607,0.036876768,263.12289,16.1341,41.561726,1.7560543,324.68112,416.19363,10048.008,252771.48
3473545,361381.8,10220.4,457,461.71848,0.033902846,261.00458,17.751457,43.783474,1.813296,321.31683,413.69043,8384.9209,218966.77
3473546,361381.8,10221,402,446.90543,0.038918965,263.65823,17.915932,46.841312,1.8705376,288.71405,379.86746,7433.481,199871.64
3538969,361382.4,10153.2,290,118.69554,0.13280426,133.5927,7.6283679,26.706793,0.0010627015,72.890732,105.9781,2491.7166,28442.52
3538970,361382.4,10153.8,398,187.88661,0.054913621,91.393448,8.6408844,34.174305,0.40563616,159.67114,207.35419,4208.8188,63822.602
3538971,361382.4,10154.4,402,169.8204,0.046463449,112.75912,4.7607589,25.505512,0.41579849,162.85643,214.31085,3294.3333,36461.52
3538972,361382.4,10155,391,158.32436,0.062974267,123.08927,4.2888646,24.904842,0.33117291,129.42694,177.74493,3279.4973,36256.68
3538973,361382.4,10155.6,329,139.02124,0.079017714,133.1844,6.2850089,24.304153,0.28515154,106.78083,148.69052,2777.1621,32036.4
3538974,361382.4,10156.2,338,148.68015,0.045511421,129.25586,5.8147364,23.703444,0.23918611,159.267,202.61482,2872.3242,33336.719
3538975,361382.4,10156.8,510,253.80673,0.027897444,78.637978,6.8173585,34.051437,0.21982656,274.36603,338.12268,5120.8086,74121.477
3538976,361382.4,10157.4,585,284.11652,0.033265557,68.219093,5.5284586,33.27182,0.71832305,253.04128,327.60895,5601.3491,76978.438
3538977,361382.4,10158,486,237.19908,0.040799905,80.30555,2.3679316,22.506756,0.34857801,203.60596,270.29117,3800.8542,39787.199
3538978,361382.4,10158.6,308,144.65872,0.08811143,151.85789,5.382534,21.042934,0.055324398,102.76629,143.63528,2485.0054,25498.439
3538979,361382.4,10159.2,351,179.5923,0.074255601,129.71474,9.4665985,45.158234,0.0093589704,130.70367,174.33484,3912.5344,73261.438
3538980,361382.4,10159.8,498,291.30066,0.029987883,95.546448,8.678297,43.881535,0.045102425,287.85541,349.38382,6165.4141,108508.68
3538981,361382.4,10160.4,623,311.95767,0.025667369,106.98832,4.4702978,58.857285,0.17099681,315.73947,390.80679,6454.4077,98898.844
3538983,361382.4,10161.6,693,369.63184,0.0237437,87.935982,7.3915854,57.092712,0.54724073,362.7821,442.29843,8385.3271,146225.16
3538984,361382.4,10162.2,601,302.76297,0.037167013,47.268456,4.7131948,27.187988,0.77542466,248.52534,319.94659,6297.019,79508.156
3538985,361382.4,10162.8,317,157.42751,0.043825071,322.73648,5.2016559,20.071333,0.17674172,164.1097,212.4633,2725.092,27289.08
3538987,361382.4,10164,875,467.18851,0.052861266,85.741264,7.3094759,53.609547,0.77669072,236.22467,333.25928,10063.134,154677.23
3538989,361382.4,10165.2,972,505.01788,0.045994028,83.679634,4.9614382,51.893272,1.9740782,265.8692,371.45618,10574.859,153205.56
3538990,361382.4,10165.8,1008,517.87207,0.032431725,80.108658,3.9838402,60.326569,2.572772,340.65643,447.95166,10950.514,158092.2
3538991,361382.4,10166.4,982,505.20395,0.050045948,74.470764,3.0702932,30.494257,3.1714656,248.28525,356.16711,9925.166,119345.04
3538992,361382.4,10167,971,499.69473,0.051412709,74.949791,2.5586307,29.349455,3.7701595,241.69035,349.4798,9568.5117,112155.48
3538993,361382.4,10167.6,966,498.72064,0.051384598,70.093414,1.9701295,28.222542,4.3688531,240.81215,349.23447,9412.4141,109625.04
3538994,361382.4,10168.2,977,500.22824,0.046820398,53.373859,1.398754,27.115442,4.9675469,256.86185,366.41351,9555.6201,112836.24
3538995,361382.4,10168.8,971,497.94199,0.041427188,28.607643,0.95109892,26.030373,5.5662408,279.18396,388.64365,9379.7402,109135.8
3538996,361382.4,10169.4,976,499.33948,0.042079426,341.60681,0.98809016,24.969877,6.1649342,278.17062,386.16061,9475.0625,111361.32
3538997,361382.4,10170,985,502.60379,0.041844912,315.51898,1.5702373,29.913298,6.2915163,282.92715,388.50488,9702.6172,117011.16
3538998,361382.4,10170.6,984,502.50146,0.04259631,302.26083,2.1762419,26.69755,5.6918302,281.25781,385.0238,9708.291,116757.36
3538999,361382.4,10171.2,986,500.91034,0.043262452,296.211,2.9052904,25.277563,5.0922184,275.17053,381.44275,9858.6182,120655.8
3539000,361382.4,10171.8,985,500.05118,0.037988055,294.36176,3.6742792,30.499496,4.4927101,302.88229,406.71353,10109.259,128954.52
3539001,361382.4,10172.4,996,499.67355,0.03896258,292.47321,4.4459691,30.783812,3.8933535,300.14124,401.44333,10620.822,142946.28
3539002,361382.4,10173,986,499.83405,0.037734449,290.83109,5.1569805,31.110729,3.2942309,309.5195,407.98935,10804.402,150936.84
3539004,361382.4,10174.2,969,486.12308,0.033235658,285.74973,6.4373298,31.716228,2.0974913,335.87729,428.72214,11035.339,159831.72
3539005,361382.4,10174.8,957,485.1489,0.034472644,284.94943,6.9461842,32.053616,1.5010748,331.13275,420.5379,11042.964,161202.59
3539006,361382.4,10175.4,930,475.293,0.034869064,282.35471,7.5433378,32.414616,0.90938532,329.49179,413.87146,10906.92,159707.16
3539007,361382.4,10176,893,461.26904,0.03262734,279.68616,8.2079487,32.79845,0.33015883,344.83914,421.49384,10693.475,158313.23
3539018,361382.4,10182.6,970,911.09857,0.029566212,96.738907,18.685137,63.603096,0.034493256,524.90857,622.28564,27644.008,853864.19
3539019,361382.4,10183.2,1039,973.58044,0.030676831,99.195976,17.089569,63.128918,0.55937636,518.51099,631.51782,27534.596,811465.19
3539020,361382.4,10183.8,1069,995.32086,0.030858241,99.916107,16.188961,47.565369,1.1553069,516.65503,636.65021,27090.131,766954.44
3539056,361382.4,10205.4,1078,951.0426,0.031979714,231.84036,9.1087685,52.001522,0.9488554,483.54276,611.31866,18051.654,377195.41
3539057,361382.4,10206,1042,909.77966,0.030036416,228.12872,9.5326481,40.826828,1.0470877,494.79642,616.94861,16872.084,343890.72
3539058,361382.4,10206.6,1060,919.54657,0.032657035,231.45966,10.196621,41.400875,1.4150221,473.46994,594.84448,17444.439,365097.59
3539059,361382.4,10207.2,1063,933.56287,0.031897318,236.9082,10.794906,53.593441,1.904779,483.65628,606.45648,17799.539,387191.88
3539060,361382.4,10207.8,1009,874.21692,0.031966239,232.7205,11.223169,43.931801,2.3874974,469.61856,586.23102,16388.408,346802.03
3539061,361382.4,10208.4,981,860.18976,0.028798599,236.39622,11.937657,43.127964,2.3345065,496.79855,612.65558,16228.553,357249.97
3539067,361382.4,10212,831,811.19843,0.025826825,248.47748,16.572302,56.80669,1.5386722,524.18243,628.25073,15886.644,419690.88
3539068,361382.4,10212.6,717,724.97681,0.040642112,254.74846,17.868303,57.357388,1.5976903,378.42291,473.45514,14018.872,396739.44
3539069,361382.4,10213.2,700,705.97888,0.033241026,252.96349,18.439299,57.909557,1.7359436,425.45471,516.6109,14182.731,401409.38
3539070,361382.4,10213.8,666,677.23822,0.033183638,251.77486,19.047918,51.762608,1.1908243,422.90381,506.42328,14046.856,403463.88
3539071,361382.4,10214.4,498,576.58075,0.043610591,256.185,20.076015,52.311008,0.59428984,335.14319,407.60455,10131.56,299578.69
3539077,361382.4,10218,726,536.258,0.016650941,261.72299,11.509974,55.456009,2.0563183,558.53796,636.16895,13783.128,383551.19
3539078,361382.4,10218.6,732,545.96088,0.017697116,264.13638,12.202716,56.044865,2.2388341,535.28906,622.63629,13886.586,380820.97
3539079,361382.4,10219.2,722,531.00226,0.019284056,262.55521,13.389548,56.633984,2.2960758,498.84686,588.23914,14374.552,403050.97
3539080,361382.4,10219.8,643,492.7677,0.016383458,257.79196,15.707829,57.223358,2.3533175,524.00336,614.78497,12734.896,355987.44
3539081,361382.4,10220.4,538,451.55237,0.017635185,258.26285,16.895283,57.812977,2.4105592,474.01822,567.2428,10265.659,282654
3539082,361382.4,10221,487,453.10172,0.023411052,260.83545,17.171104,58.402828,2.4678009,400.99948,493.1651,9248.3564,251986.31
3604507,361383,10154.4,587,266.70407,0.042058453,81.093086,8.9163284,34.890831,0.12924087,227.36848,282.28845,6638.7061,101182.68
3604508,361383,10155,473,224.59387,0.047877859,65.033745,9.2379494,32.929844,0.058694001,190.31534,242.7932,5371.2949,83031.477
3604509,361383,10155.6,377,185.5081,0.051350925,57.528557,11.063236,30.996525,0.073085189,173.07195,213.06506,4550.6782,72079.922
3604510,361383,10156.2,395,198.58533,0.035721149,59.904449,10.330225,29.096088,0.11905061,221.27463,264.31134,4622.4648,71107.562
3604511,361383,10156.8,546,250.16171,0.033549502,69.199112,6.6004353,27.235098,0.17520109,245.54306,306.10632,5549.1875,74683.078
3604512,361383,10157.4,607,278.0556,0.038672261,72.21772,5.2292485,33.512444,0.69014221,229.45461,300.58752,5857.8774,76204.438
3604513,361383,10158,618,286.62427,0.043934569,69.078339,4.9801693,32.724266,0.45830545,214.45096,286.32431,6009.7632,79027.922
3604514,361383,10158.6,446,225.8047,0.046909422,50.736778,7.8657532,31.930214,0.30291232,191.01915,245.94691,4579.1587,64712.52
3604515,361383,10159.2,437,232.83018,0.035719633,54.540512,8.789464,31.134089,0.34887776,232.88759,286.20096,4625.5674,64884.961
3604516,361383,10159.8,459,231.82271,0.026268514,49.745377,7.0898027,28.042599,0.39484319,268.80716,333.01605,4563.8311,58623.121
3604517,361383,10160.4,674,345.62265,0.019425461,96.230553,7.0213027,58.411846,0.46220466,393.76761,472.84671,7805.231,137764.8
3604518,361383,10161,583,283.64963,0.022443661,70.929825,4.3137541,23.650434,0.45545852,329.72156,398.51913,5654.4053,66107.523
3604524,361383,10164.6,986,506.25134,0.045652449,89.315544,5.5058789,61.644299,1.3541447,266.17651,373.29828,10972.448,163773.36
3604525,361383,10165.2,977,503.14642,0.054979835,83.631073,4.2455616,32.006916,1.952119,230.64392,339.11768,10062.778,122132.16
3604526,361383,10165.8,979,501.55304,0.044738863,83.875076,3.6623347,30.906485,2.5510447,266.52701,375.33658,9991.9668,120566.52
3604527,361383,10166.4,947,493.81146,0.051589724,87.751984,3.2104871,29.821238,3.1503794,237.5831,346.81982,9317.3545,108263.88
3604528,361383,10167,955,493.0932,0.056353405,88.238762,2.6066909,28.752663,3.7499268,221.29695,331.59607,9265.4844,106402.68
3604529,361383,10167.6,984,500.70523,0.044472281,81.208206,1.7850561,27.702446,4.3495989,263.95154,376.14154,9651.752,113366.52
3604530,361383,10168.2,993,503.65921,0.042747505,70.101204,1.0134789,26.672508,4.9493508,272.6076,384.78482,9707.665,113761.44
3604531,361383,10168.8,991,503.61554,0.048949234,27.926226,0.43156567,25.665037,5.5491562,248.65053,359.56842,9660.1963,113348.52
3604532,361383,10169.4,992,504.50964,0.043629874,310.69867,0.75346828,33.271526,6.1489992,271.8797,381.19543,9657.4141,113400.72
3604537,361383,10172.4,1013,504.2316,0.041976281,285.81213,4.2916641,30.247561,3.8887177,288.5072,388.52414,10875.381,147031.2
3604538,361383,10173,997,500.70563,0.041928146,284.74161,4.9700241,30.574299,3.2887506,289.81772,387.3855,10941.271,152930.88
3604539,361383,10173.6,982,492.88452,0.036885351,282.47235,5.6207118,30.874123,2.6887984,314.62424,409.77982,10934.085,154511.28
3604540,361383,10174.2,964,483.15158,0.036583737,280.17499,6.2726707,31.199903,2.0888736,315.10492,407.38272,10888.889,155765.88
3604541,361383,10174.8,955,481.16565,0.039601911,279.26947,6.7724829,31.550838,1.4890095,300.16931,390.74567,10891.037,155793.95
3604542,361383,10175.4,932,471.74515,0.039256804,277.19308,7.3845434,31.926104,0.88932848,303.13245,388.59854,10887.634,157769.64
3604543,361383,10176,896,456.1319,0.037295032,275.21149,8.128603,26.94013,0.29096606,313.52261,392.03482,10803.114,160002.72
3604554,361383,10182.6,962,945.2807,0.030424977,100.53519,18.080763,49.830769,0.24749735,519.59003,624.84198,26551.051,790881.81
3604555,361383,10183.2,1018,972.74634,0.028881861,101.19559,17.228466,62.625267,0.83652478,536.44189,650.5672,27086.316,800263.06
3604595,361383,10207.2,1036,908.60187,0.032742742,234.26538,11.279562,52.102524,1.6901056,468.19589,590.51947,17968.971,402942.97
3604596,361383,10207.8,1011,893.69818,0.029167365,235.21074,11.977979,52.692638,1.7898421,500.00644,620.51428,17627.031,403497.38
3604597,361383,10208.4,986,861.03937,0.026875885,234.81917,12.515785,45.379749,1.7368511,517.43219,634.505,17073.172,389666.53
3604602,361383,10211.4,872,806.63672,0.022641273,243.41801,16.083015,56.01268,1.4718956,563.93677,669.10382,16586.191,430458.84
3604603,361383,10212,817,772.35925,0.025439132,243.03427,16.591518,49.866226,1.4189045,520.18359,617.67987,15621.101,406968.84
3604604,361383,10212.6,725,707.18988,0.043168657,245.94937,17.211229,47.335732,1.3659134,364.58289,453.72079,13200.452,336613.31
3604605,361383,10213.2,661,673.78583,0.046730231,247.65111,17.792469,47.915123,1.3129224,341.13138,425.66397,12252.154,322385.03
3604606,361383,10213.8,676,669.78418,0.043782704,247.21735,18.60148,48.49509,1.2552189,358.7561,438.45102,13298.82,359664.12
3604607,361383,10214.4,601,615.16925,0.04088112,250.54675,19.612886,49.075607,0.65868449,360.42163,434.85138,12056.46,339899.03
3604608,361383,10215,420,522.4809,0.065991618,254.94684,22.049232,49.656654,0.062150039,256.29153,315.42474,9257.5049,283433.03
3604609,361383,10215.6,258,162.31343,0.045558929,246.88174,4.8590035,33.771774,0.26528302,162.01981,211.59013,2145.145,28117.439
3604610,361383,10216.2,319,202.76932,0.030456778,246.02785,5.2603955,34.154961,0.86483335,232.50362,289.2438,2826.2834,38151.359
3604611,361383,10216.8,482,306.4071,0.018468866,248.82921,5.9470792,34.748196,1.2182232,386.99652,456.59824,6259.772,121682.52
3604612,361383,10217.4,561,386.2662,0.012725809,246.95016,8.3858995,41.315285,1.2663293,541.25861,617.5976,8467.1035,188044.56
3604613,361383,10218,652,469.2084,0.011513915,261.29385,8.9094887,43.879353,1.5551709,637.10187,715.60986,10733.854,253137.59
3604614,361383,10218.6,669,508.28983,0.01411085,266.11148,10.206026,49.957024,1.9883468,590.7439,672.797,11433.666,276954.47
3604615,361383,10219.2,697,527.15411,0.011960624,262.34842,13.04282,53.737156,2.4916842,658.9292,744.21228,13502.141,373950
3604616,361383,10219.8,643,500.37473,0.010848783,256.75986,15.79182,54.321762,2.9505808,675.17792,761.31097,12767.988,367748.28
3604617,361383,10220.4,587,468.29538,0.011856951,252.50629,18.201111,54.906738,3.0078225,616.96545,704.49573,11860.189,350938.44
3604618,361383,10221,549,460.00183,0.013694882,258.47202,17.588232,58.515846,2.6708436,562.95538,649.68903,11291.636,338971.31
3604619,361383,10221.6,571,490.60742,0.020222915,264.90845,16.888374,59.104664,2.0743272,465.91568,552.14111,12112.261,364243.69
3670038,361383.6,10151.4,79,46.301811,0.10909271,64.694977,17.154861,34.33263,0.11787301,56.743149,73.0308,1124.7657,24320.881
3670039,361383.6,10152,50,26.026005,0.074929975,61.573883,12.338732,30.407873,0.39552933,52.268909,66.066437,522.3233,10209.96
3670040,361383.6,10152.6,28,10.897516,0.27097467,43.996628,2.5166781,8.3326168,0.44149476,10.991791,22.480417,79.96479,372.60001
3670041,361383.6,10153.2,24,8.582016,0.28033605,11.386084,1.4140533,6.543314,0.4874602,9.0644722,19.613728,53.458942,179.28
3670042,361383.6,10153.8,18,6.5697412,0.76321602,305.28146,1.3074589,3.1039596,0.22644581,0.75032765,10.400526,30.65299,59.400002
3670043,361383.6,10154.4,545,253.90469,0.032885484,82.404922,10.210227,37.280056,0.13096385,259.26843,311.48575,6793.666,112074.48
3670044,361383.6,10155,480,229.82997,0.03185286,68.217796,10.291216,36.184765,0.63299155,247.26485,301.11615,5718.7246,94142.156
3670045,361383.6,10155.6,424,208.26328,0.046385966,62.105206,10.807311,33.937389,0.67132193,188.58492,237.52974,4953.6665,79659.719
3670046,361383.6,10156.2,419,204.09102,0.043629892,61.390415,10.1195,31.720005,0.71728736,192.36073,242.45146,4687.6387,71847.359
3670047,361383.6,10156.8,531,247.31322,0.038248148,71.876701,7.3068376,29.538904,0.76336175,223.70221,285.05154,5488.9829,75971.156
3670048,361383.6,10157.4,609,286.79129,0.026482083,86.749924,6.750947,45.172802,1.0140622,300.77979,368.90271,6385.6099,94473.359
3670049,361383.6,10158,607,282.93991,0.030078122,84.257439,4.9830308,25.320768,0.95517641,276.59616,343.81647,5937.8735,75171.602
3670050,361383.6,10158.6,534,262.87302,0.021647524,73.485992,6.2396479,43.897678,0.90114903,328.3064,390.63739,5484.7705,78643.797
3670051,361383.6,10159.2,543,288.07306,0.015724597,82.345985,9.0139694,59.73259,0.94711447,415.27924,479.80692,6612.374,128158.56
3670053,361383.6,10160.4,654,325.6777,0.027153645,76.87455,5.5931959,29.77529,1.0398867,307.18311,388.22623,6788.6284,88414.922
3670054,361383.6,10161,653,312.66315,0.027617615,74.685928,3.7885616,25.293919,1.05346,301.36719,377.18134,6384.7407,75933
3670061,361383.6,10165.2,926,485.40228,0.04312982,92.4599,4.6456952,31.384441,1.9144354,268.41797,376.06854,9543.2285,115612.92
3670062,361383.6,10165.8,917,480.6228,0.046713479,94.013664,4.1789627,30.349821,2.5044897,250.80461,359.57211,9165.4033,108189.72
3670063,361383.6,10166.4,922,484.89029,0.053070806,96.789268,3.4485893,29.330799,3.0983665,229.94066,338.84323,9007.1387,103922.64
3670064,361383.6,10167,964,495.98605,0.046070673,96.399933,2.4979181,28.328869,3.6942225,257.4017,367.81326,9430.8848,109367.28
3670065,361383.6,10167.6,1002,506.92444,0.042897992,92.941795,1.533649,27.345705,4.2912335,274.31088,385.35239,9947.292,118189.8
3670066,361383.6,10168.2,995,505.3121,0.045884881,98.79966,0.8188284,26.383204,4.8889766,262.20242,372.00604,9736.7979,113857.56
3670067,361383.6,10168.8,987,506.25485,0.050616086,145.10924,0.058625024,25.443495,5.4872122,245.72279,354.52368,9582.0508,111650.04
3670068,361383.6,10169.4,992,505.32776,0.044817179,269.04108,0.6823687,32.67662,6.0857935,269.72269,376.41702,9654.0977,113124.24
3670069,361383.6,10170,1007,507.67911,0.045503303,276.62265,1.4254211,28.727421,5.9522452,267.79678,374.43643,9971.3379,120256.92
3670070,361383.6,10170.6,1009,507.77597,0.04376547,276.17673,2.1352525,25.015299,5.4244885,273.70239,381.83453,10050.41,121942.08
3670071,361383.6,10171.2,1008,505.19626,0.04117208,276.78073,2.7807713,29.126667,4.913342,287.07492,392.67532,10202.002,126897.12
3670072,361383.6,10171.8,1013,505.32101,0.044602528,278.23044,3.4425278,29.398119,4.3913307,274.33356,377.31918,10560.099,137217.23
3670073,361383.6,10172.4,1016,505.28699,0.04367255,278.99454,4.1213541,29.718542,3.7932894,280.63556,381.30255,10922.746,148153.69
3670074,361383.6,10173,1009,500.60339,0.041217081,278.35339,4.8378077,30.038162,3.1959825,293.10321,390.67282,11110.826,155324.88
3670075,361383.6,10173.6,977,490.448,0.039438535,276.15234,5.5176721,30.350819,2.5999162,299.79355,395.31293,10782.552,150510.23
3670076,361383.6,10174.2,955,481.7291,0.040504631,274.23596,6.1555905,30.690336,2.0061965,293.37201,386.59305,10691.716,151004.52
3670077,361383.6,10174.8,952,477.75751,0.040502805,273.18921,6.7126255,31.055838,1.4177744,293.38678,385.00479,10821.618,154232.28
3670078,361383.6,10175.4,918,468.97214,0.039428391,271.75272,7.3199658,31.446423,0.84565932,299.70895,386.61075,10629.506,152064.72
3670079,361383.6,10176,888,452.79779,0.041988637,270.2803,8.0924025,26.81151,0.28919411,287.49213,368.12149,10627.293,155986.2
3670090,361383.6,10182.6,975,942.32043,0.030261947,103.12332,18.086748,49.856491,0.2880334,519.29785,625.54102,26945.797,804359.19
3670091,361383.6,10183.2,1024,966.4657,0.030235352,103.86217,17.236456,49.201233,0.82493573,518.64783,633.78308,27112.129,789940.44
3670128,361383.6,10205.4,278,300.50824,0.035902746,307.72498,13.348642,50.214024,0.00983332,265.77316,324.31668,4353.3149,100726.56
3670129,361383.6,10206,955,771.01337,0.029452352,221.21219,8.4151964,50.754589,0.44402745,459.45038,573.55609,15449.985,319169.16
3670130,361383.6,10206.6,1029,854.81512,0.030049575,225.96126,10.807828,51.376179,1.0438368,484.25189,597.89081,17949.586,398126.16
3670131,361383.6,10207.2,970,841.22363,0.030328972,225.50699,11.644894,42.336899,1.2451779,478.54971,590.38025,16494.268,357197.03
3670132,361383.6,10207.8,969,840.94971,0.031012684,229.49188,12.427681,42.906883,1.1921868,471.61215,583.74109,16751.973,374041.44
3670133,361383.6,10208.4,974,842.75397,0.028464749,235.20518,13.275552,53.016346,1.1391957,497.2731,609.96039,17525.068,414171.72
3670134,361383.6,10209,986,839.14716,0.027613265,237.47917,14.013597,53.565258,1.0862046,505.81586,617.96674,18425.596,455519.16
3670135,361383.6,10209.6,967,813.68994,0.027489509,235.62155,14.472611,54.115849,1.0332135,503.98154,609.88916,17924.723,440628.12
3670136,361383.6,10210.2,906,781.7951,0.026216593,233.57039,15.019095,47.969925,0.9802224,511.63052,612.15765,16568.061,400794.84
